,ArticleViolated,Authority,Country,Date,Fine,Org_fined,Type,Country_code,Fines_applied,GDP_pc_2019
0,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-11-25,11000,Courier Services Company,Insufficient technical and organisational measures to ensure information security,21,1,9130
1,"Art. 12 GDPR, Art. 17 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-11-22,2000,BNP Paribas Personal Finance S.A.,Insufficient fulfilment of data subjects rights,21,2,9130
2,Art. 6 GDPR,Spanish Data Protection Authority (aepd),SPAIN,2019-11-21,60000,Viaqua XestiÄ‚Ĺ‚n Integral Augas de Galicia,Insufficient legal basis for data processing,23,1,25170
3,"Art. 5 GDPR, Art. 6 GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 21 GDPR",French Data Protection Authority (CNIL),FRANCE,2019-11-21,500000,Futura Internationale,Insufficient fulfilment of data subjects rights,8,5,33270
4,Art. 32 GDPR,Spanish Data Protection Authority (aepd),SPAIN,2019-11-19,60000,CorporaciÄ‚Ĺ‚n radiotelevisiÄ‚Ĺ‚n espanola,Insufficient technical and organisational measures to ensure information security,23,1,25170
5,Art. 32 GDPR,Spanish Data Protection Authority (aepd),SPAIN,2019-11-19,60000,Xfera Moviles S.A.,Insufficient technical and organisational measures to ensure information security,23,1,25170
6,Art. 5 GDPR,Spanish Data Protection Authority (aepd),SPAIN,2019-11-14,30000,TelefÄ‚Ĺ‚nica SA,Non-compliance with general data processing principles,23,1,25170
7,Art. 6 GDPR,Spanish Data Protection Authority (aepd),SPAIN,2019-11-13,3000,General Confederation of Labour ('CGT'),Insufficient legal basis for data processing,23,1,25170
8,Art. 13 GDPR,Spanish Data Protection Authority (aepd),SPAIN,2019-11-07,900,TODOTECNICOS24H S.L.,Insufficient fulfilment of information obligations,23,1,25170
9,Art. 13 GDPR,Spanish Data Protection Authority (aepd),SPAIN,2019-11-06,1500,Cerrajero Online,Insufficient fulfilment of information obligations,23,1,25170
10,Art. 6 GDPR,Data State Inspectorate (DSI),LATVIA,2019-11,150000,Unknown,Insufficient legal basis for data processing,14,1,12490
11,Art. 6 GDPR,Spanish Data Protection Authority (aepd),SPAIN,2019-10-31,6000,Jocker Premium Invex,Insufficient legal basis for data processing,23,1,25170
12,Art. 32 GDPR,Dutch Supervisory Authority for Data Protection (AP),THE NETHERLANDS,2019-10-31,900000,UWV (Dutch employee insurance service provider),Insufficient technical and organisational measures to ensure information security,17,1,42020
13,"Art. 5 GDPR, Art. 25 GDPR",Data Protection Authority of Berlin,GERMANY,2019-10-30,14500000,Deutsche Wohnen SE,Non-compliance with general data processing principles,9,2,35980
14,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (aepd),SPAIN,2019-10-25,36000,"VODAFONE ESPANA, S.A.U.",Insufficient legal basis for data processing,23,2,25170
15,"Art. 5 (1) a) GDPR, Art. 6 GDPR",Austrian Data Protection Authority (dsb),AUSTRIA,2019-10-23,18000000,Austrian Post,Insufficient legal basis for data processing,1,2,38250
16,Art. 28 GDPR,Polish National Personal Data Protection Office (UODO),POLAND,2019-10-18,9380,Major of AleksandrÄ‚Ĺ‚w Kujawski,Insufficient data processing agreement,19,1,12980
17,"Art. 12 GDPR, Art. 13 GDPR, Art. 5 (1) c) GDPR, Art. 6 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-10-17,2500,UTTIS INDUSTRIES SRL,Insufficient fulfilment of information obligations,21,4,9130
18,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (aepd),SPAIN,2019-10-16,60000,Xfera Moviles S.A.,Insufficient legal basis for data processing,23,2,25170
19,Art. 31 GDPR,Spanish Data Protection Authority (aepd),SPAIN,2019-10-16,8000,Iberdrola Clientes,Lack of cooperation with the supervisory authority,23,1,25170
20,Art. 5 GDPR,Polish National Personal Data Protection Office (UODO),POLAND,2019-10-16,47000,ClickQuickNow,Non-compliance with general data processing principles,19,1,12980
21,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-10-09,150000,Raiffeisen Bank SA,Insufficient technical and organisational measures to ensure information security,21,1,9130
22,"Art. 32 GDPR, Art. 33 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-10-09,20000,Vreau Credit SRL,Insufficient technical and organisational measures to ensure information security,21,2,9130
23,"Art. 5 (1) c) GDPR, Art. 25 GDPR",Hellenic Data Protection Authority (HDPA),GREECE,2019-10-07,200000,Telecommunication Service Provider,Non-compliance with general data processing principles,10,2,18150
24,"Art. 21 (3) GDPR, Art. 25 GDPR",Hellenic Data Protection Authority (HDPA),GREECE,2019-10-07,200000,Telecommunication Service Provider,Non-compliance with general data processing principles,10,2,18150
25,"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (aepd),SPAIN,2019-10-01,30000,Vueling Airlines,Insufficient legal basis for data processing,23,2,25170
26,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-09-26,9000,Inteligo Media SA,Insufficient legal basis for data processing,21,2,9130
27,"Art. 15 GDPR, Art. 17 GDPR, Art. 21 GDPR",Data Protection Authority of Berlin,GERMANY,2019-09-19,195407,Delivery Hero,Insufficient fulfilment of data subjects rights,9,3,35980
28,Art. 5 (1) c) GDPR,Belgian Data Protection Authority (APD),BELGIUM,2019-09-17,10000,Merchant,Non-compliance with general data processing principles,2,1,35900
29,Art. 32 GDPR,Polish National Personal Data Protection Office (UODO),POLAND,2019-09-10,644780,Morele.net,Insufficient technical and organisational measures to ensure information security,19,1,12980
30,Art. 32 GDPR,Data Protection Commision of Bulgaria (KZLD),BULGARIA,2019-08-28,2600000,National Revenue Agency,Insufficient technical and organisational measures to ensure information security,3,1,6800
31,Art. 32 GDPR,Data Protection Commision of Bulgaria (KZLD),BULGARIA,2019-08-28,511000,DSK Bank,Insufficient technical and organisational measures to ensure information security,3,1,6800
32,Art. 17 GDPR,Data State Inspectorate (DSI),LATVIA,2019-08-26,7000,Online Services,Insufficient fulfilment of data subjects rights,14,1,12490
33,"Art. 5 (1) c) GDPR, Art. 9 GDPR, Art. 35 GDPR, Art. 36 GDPR",Data Protection Authority of Sweden,SWEDEN,2019-08-20,18630,School in SkellefteÄ‚Ä„,Insufficient legal basis for data processing,24,4,43840
34,Art. 6 GDPR,Spanish Data Protection Authority (aepd),SPAIN,2019-08-16,60000,AVON COSMETICS,Insufficient legal basis for data processing,23,1,25170
35,"Art. 13 GDPR, Art. 37 GDPR",Austrian Data Protection Authority (dsb),AUSTRIA,2019-08,50000,Company in the medical sector,Insufficient fulfilment of information obligations,1,2,38250
36,"Art. 5 (1) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 13 (1) c) GDPR, Art. 14 (1) c) GDPR",Hellenic Data Protection Authority (HDPA),GREECE,2019-07-30,150000,PWC Business Solutions,Insufficient legal basis for data processing,10,5,18150
37,Art. 32 GDPR,French Data Protection Authority (CNIL),FRANCE,2019-07-25,180000,ACTIVE ASSURANCES (car insurer),Insufficient technical and organisational measures to ensure information security,8,1,33270
38,Art. 32 GDPR,Information Commissioner (ICO),UNITED KINGDOM,2019-07-09,110390200,"Marriott International, Inc",Insufficient technical and organisational measures to ensure information security,25,1,32960
39,Art. 32 GDPR,Information Commissioner (ICO),UNITED KINGDOM,2019-07-08,204600000,British Airways,Insufficient technical and organisational measures to ensure information security,25,1,32960
40,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-07-05,3000,LEGAL COMPANY & TAX HUB SRL,Insufficient technical and organisational measures to ensure information security,21,1,9130
41,Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-07-02,15000,WORLD TRADE CENTER BUCHAREST SA,Insufficient technical and organisational measures to ensure information security,21,1,9130
42,Art. 6 GDPR,Austrian Data Protection Authority (dsb),AUSTRIA,2019-07,11000,Private person (soccer coach),Insufficient legal basis for data processing,1,1,38250
43,"Art. 25 (1) GDPR, Art. 5 (1) c) GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-06-27,130000,UNICREDIT BANK SA,Insufficient technical and organisational measures to ensure information security,21,2,9130
44,Art. 33 GDPR,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-06-25,15150,Unknown,Insufficient fulfilment of data breach notification obligations,11,1,13180
45,Art. 32 GDPR,Dutch Supervisory Authority for Data Protection (AP),THE NETHERLANDS,2019-06-18,460000,Haga Hospital,Insufficient technical and organisational measures to ensure information security,17,1,42020
46,"Art. 5 (1) c) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 32 GDPR",French Data Protection Authority (CNIL),FRANCE,2019-06-13,20000,Employer UNIONTRAD COMPANY,Insufficient legal basis for data processing,8,4,33270
47,"Art. 5 (1) a), Art. 7 (3) GDPR",Spanish Data Protection Authority (aepd),SPAIN,2019-06-11,250000,Professional Football League (LaLiga),Insufficient fulfilment of information obligations,23,2,25170
48,"Art. 5 (1) e) GDPR, Art. 5 (2) GDPR",Danish Data Protection Authority (Datatilsynet),DENMARK,2019-06-03,200850,IDdesign A / S,Non-compliance with general data processing principles,7,2,49190
49,"Art. 5 (1) b) GDPR, Art. 6 GDPR",Belgian Data Protection Authority (APD),BELGIUM,2019-05-28,2000,Mayor,Insufficient legal basis for data processing,2,2,35900
50,Art. 32 GDPR,French Data Protection Authority (CNIL),FRANCE,2019-05-28,400000,SERGIC (Real Estate),Insufficient technical and organisational measures to ensure information security,8,1,33270
51,"Art. 6 GDPR, Art. 5 (1) b) GDPR, Art. 13 GDPR",Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),HUNGARY,2019-05-23,92146,Organizer of SZIGET festival and VOLT festival,Insufficient legal basis for data processing,11,3,13180
